Department_Broad,Department_Specific,Proposed_Budget,Account_Amend_1,Amt_Changed_1,Account_Ammend_2,Amt_Changed_2,Account_Ammend_3,Amt_Changed_3,Account_Ammend_4,Amt_Changed_4,Account_Ammend_5,Amt_Changed_5,Account_Amend_6,Amt_Changed_6,Account_Ammend_7,Amt_Changed_7,Account_Ammend_8,Amt_Changed_8,Account_Ammend_9,Amt_Changed_9,Account_Ammend_10,Amt_Changed_10,Amended_Budget,Difference,Change
Common Council,Common Council,"$801,988","10100 “Professional Services"" Account — 541500","-$56,140",,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$745,848","-$56,140",-7.00%
Citizen Review Board,Citizen Review Board,"$414,844","10500 ""Professional Services"" Account — 541500","-$29,040",,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$385,804","-$29,040",-7.00%
Executive,Office of the Mayor,"$1,055,244","12100 ""Contracted Services-Related Parties"" Account — 541700","-$73,866",,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$981,378","-$73,866",-7.00%
Executive,Office of Gun Violence Prevention,"$395,540","12150 ""Professional Services"" Account — 541500","-$150,000",,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$245,540","-$150,000",-37.92%
Executive,Office of Comunications,"$394,200","12120 ""Consumable Supplies & Materials"" Account — 540541","-$2,000","12120 “Technical Devices & Tools"" Account — 540542","-$6,200","12120 “Other Services"" Account — 540552","-$19,394",,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$366,606","-$27,594",-7.00%
Executive,"Office of Accountability, Performance & Innovation (API)","$4,281,745","12140 ""Factual & Informational” Account — 540530","-$649,723",,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$3,632,022","-$649,723",-15.17%
Executive,Office of Management & Budget,"$523,182","13400 ""Salaries"" Account — 510100","-$25,923",,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$497,259","-$25,923",-4.95%
Executive,Division of Purchase,"$130,278","13450 ""Office Supplies"" Account — 540320",-$500,"13450 ""Travel"" Account — 541610",-$500,"13450 ""Training"" Account — 541620",-$700,,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$128,578","-$1,700",-1.30%
Executive,Division of Equity Compliance & Social Impact,"$200,852","64500 ""Office Supplies"" Account — 540320","-$1,000","64500 ""Travel"" Account — 541610","-$3,000","64500 ""Training"" Account — 541620","-$4,000","64500 ""Professional Development"" Account — 541630                                                                                                                                            ","-$1,000",,$0,,$0,,$0,,$0,,$0,,$0,"$191,852","-$9,000",-4.48%
Executive,Office of Personnel & Labor Relations,"$1,398,236","14300 ""Salaries"" Account — 510100","-$97,877",,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$1,300,359","-$97,877",-7.00%
Executive,Bureau of Research,"$346,516","14800 ""Travel"" Account — 541610","-$4,185",,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$342,331","-$4,185",-2.08%
Executive,Bureau of Information Technology,"$2,430,163","16800 ""Salaries"" Account — 510100","-$170,112","16800 ""Other Services"" Account — 540552","-$250,000","16800 ""Professional Services"" Account — 541500","-$250,000",,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$1,760,051","-$670,112",-27.57%
Finance,Bureau of Accounts,"$902,714","13110 ""Salaries"" Account — 510100","-$63,190",,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$839,524","-$63,190",-31.46%
Finance,Parking Violatons Bureau,"$1,066,447","13310 ""Salaries"" Account — 510100","-$74,652",,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$991,795","-$74,652",-7.00%
Audit,Office of the City Auditor,"$348,866","13200 ""Professional Services"" Account — 541500","-$24,421",,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$324,445","-$24,421",-12.16%
City Clerk,City Clerk's Office,"$408,472",14100 Professional Services Account — 541500,"-$15,000",,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,,$0,"$393,472","-$15,000",-3.67%
